$,$,$
Diablitos FC,7129,0
Diablitos FC,7070,21
Diablitos FC,7017,10
Diablitos FC,6844,35
Diablitos FC,6717,1
Diablitos FC,6660,1
Diablitos FC,6572,0
Diablitos FC,6434,0
Diablitos FC,6426,1
Diablitos FC,5858,0
Diablitos FC,5833,0
Diablitos FC,5800,0
Diablitos FC,5761,50
Diablitos FC,5435,0
Diablitos FC,5427,23
Diablitos FC,4973,0
Diablitos FC,4896,0
Diablitos FC,4867,0
Diablitos FC,4807,0
Diablitos FC,4751,0
Diablitos FC,4734,0
Diablitos FC,4431,0
Diablitos FC,4427,6
Diablitos FC,4401,0
Diablitos FC,4385,1
Diablitos FC,4378,0
Diablitos FC,4236,1
Diablitos FC,2194,10
Diablitos FC,2137,0
Diablitos FC,184,1
Diablitos FC,4,0
$,$,$
AC Ciaccati,7183,1
AC Ciaccati,7175,1
AC Ciaccati,6989,0
AC Ciaccati,6884,0
AC Ciaccati,6684,0
AC Ciaccati,6680,1
AC Ciaccati,6669,0
AC Ciaccati,6663,0
AC Ciaccati,6549,1
AC Ciaccati,6365,0
AC Ciaccati,6052,70
AC Ciaccati,6020,1
AC Ciaccati,5844,0
AC Ciaccati,5651,1
AC Ciaccati,5637,12
AC Ciaccati,5589,0
AC Ciaccati,5559,0
AC Ciaccati,5116,0
AC Ciaccati,4976,0
AC Ciaccati,4772,0
AC Ciaccati,4657,1
AC Ciaccati,4409,0
AC Ciaccati,2841,0
AC Ciaccati,2832,1
AC Ciaccati,2788,0
AC Ciaccati,2765,0
AC Ciaccati,2593,0
AC Ciaccati,2428,0
AC Ciaccati,2379,41
AC Ciaccati,1926,0
$,$,$
FC Pontos,7351,2
FC Pontos,7313,14
FC Pontos,7220,6
FC Pontos,7219,5
FC Pontos,7143,1
FC Pontos,7133,1
FC Pontos,7132,1
FC Pontos,6832,0
FC Pontos,6831,0
FC Pontos,6813,0
FC Pontos,6641,0
FC Pontos,6495,0
FC Pontos,6001,0
FC Pontos,5918,9
FC Pontos,5835,0
FC Pontos,5820,0
FC Pontos,5813,0
FC Pontos,5701,1
FC Pontos,5453,0
FC Pontos,5273,9
FC Pontos,4312,0
FC Pontos,4220,0
FC Pontos,4210,0
FC Pontos,2816,0
FC Pontos,2263,0
FC Pontos,2188,0
FC Pontos,2038,0
FC Pontos,1933,0
FC Pontos,441,0
FC Pontos,152,0
$,$,$
Metodo Monchi FC,7318,1
Metodo Monchi FC,7235,0
Metodo Monchi FC,7212,4
Metodo Monchi FC,7181,0
Metodo Monchi FC,7162,20
Metodo Monchi FC,7012,1
Metodo Monchi FC,7008,0
Metodo Monchi FC,6966,7
Metodo Monchi FC,6917,1
Metodo Monchi FC,6672,0
Metodo Monchi FC,6666,0
Metodo Monchi FC,6664,2
Metodo Monchi FC,6632,0
Metodo Monchi FC,6435,0
Metodo Monchi FC,5995,0
Metodo Monchi FC,5750,2
Metodo Monchi FC,5734,0
Metodo Monchi FC,5526,0
Metodo Monchi FC,5298,1
Metodo Monchi FC,5010,0
Metodo Monchi FC,4887,0
Metodo Monchi FC,4465,0
Metodo Monchi FC,4436,0
Metodo Monchi FC,4360,0
Metodo Monchi FC,4349,0
Metodo Monchi FC,2848,0
Metodo Monchi FC,2766,0
Metodo Monchi FC,2160,0
Metodo Monchi FC,572,0
Metodo Monchi FC,531,0
Metodo Monchi FC,460,0
Metodo Monchi FC,254,0
$,$,$
THE ZERODAYZ,7146,1
THE ZERODAYZ,7126,0
THE ZERODAYZ,7068,0
THE ZERODAYZ,7018,1
THE ZERODAYZ,6895,31
THE ZERODAYZ,6394,0
THE ZERODAYZ,6271,0
THE ZERODAYZ,5885,0
THE ZERODAYZ,5877,0
THE ZERODAYZ,5841,0
THE ZERODAYZ,5831,0
THE ZERODAYZ,5791,0
THE ZERODAYZ,5784,0
THE ZERODAYZ,5687,24
THE ZERODAYZ,5514,0
THE ZERODAYZ,5500,0
THE ZERODAYZ,5319,0
THE ZERODAYZ,5119,0
THE ZERODAYZ,4871,0
THE ZERODAYZ,4479,0
THE ZERODAYZ,4463,0
THE ZERODAYZ,2499,1
THE ZERODAYZ,2134,0
THE ZERODAYZ,2077,0
THE ZERODAYZ,787,0
THE ZERODAYZ,632,0
THE ZERODAYZ,610,0
THE ZERODAYZ,554,0
THE ZERODAYZ,513,0
THE ZERODAYZ,322,0
THE ZERODAYZ,309,0
$,$,$
CyberDucks,6967,0
CyberDucks,6898,0
CyberDucks,6896,1
CyberDucks,6766,1
CyberDucks,6643,0
CyberDucks,6631,0
CyberDucks,6485,0
CyberDucks,6206,0
CyberDucks,6060,0
CyberDucks,6046,0
CyberDucks,6039,0
CyberDucks,6010,0
CyberDucks,5876,0
CyberDucks,5685,0
CyberDucks,5678,0
CyberDucks,5672,0
CyberDucks,5449,0
CyberDucks,4777,0
CyberDucks,4686,0
CyberDucks,4371,19
CyberDucks,4359,0
CyberDucks,4317,0
CyberDucks,4159,14
CyberDucks,2531,0
CyberDucks,2423,0
CyberDucks,1930,0
CyberDucks,788,0
CyberDucks,770,8
CyberDucks,218,0
$,$,$
FC Sovescio,7223,2
FC Sovescio,7203,32
FC Sovescio,7179,21
FC Sovescio,6986,0
FC Sovescio,6875,0
FC Sovescio,6646,0
FC Sovescio,6642,0
FC Sovescio,6629,20
FC Sovescio,6496,1
FC Sovescio,6462,0
FC Sovescio,6314,53
FC Sovescio,6218,0
FC Sovescio,6042,0
FC Sovescio,5992,0
FC Sovescio,5851,0
FC Sovescio,5823,0
FC Sovescio,5792,0
FC Sovescio,5610,1
FC Sovescio,5527,0
FC Sovescio,5320,1
FC Sovescio,5007,0
FC Sovescio,4994,0
FC Sovescio,4923,0
FC Sovescio,4728,53
FC Sovescio,4502,0
FC Sovescio,4374,5
FC Sovescio,2764,0
FC Sovescio,2606,0
FC Sovescio,2296,0
FC Sovescio,761,0
FC Sovescio,530,0
FC Sovescio,188,0
$,$,$
Diaolo Porco,7314,36
Diaolo Porco,7128,0
Diaolo Porco,6893,1
Diaolo Porco,6869,0
Diaolo Porco,6814,0
Diaolo Porco,6424,0
Diaolo Porco,6398,0
Diaolo Porco,6202,0
Diaolo Porco,5850,0
Diaolo Porco,5840,0
Diaolo Porco,5719,0
Diaolo Porco,5513,0
Diaolo Porco,5301,2
Diaolo Porco,5036,6
Diaolo Porco,4957,0
Diaolo Porco,4510,0
Diaolo Porco,4461,0
Diaolo Porco,4459,0
Diaolo Porco,2724,0
Diaolo Porco,2722,1
Diaolo Porco,2529,0
Diaolo Porco,2170,0
Diaolo Porco,2120,0
Diaolo Porco,2097,0
Diaolo Porco,2061,3
Diaolo Porco,779,0
Diaolo Porco,536,0
Diaolo Porco,333,0
Diaolo Porco,256,1
Diaolo Porco,252,0
Diaolo Porco,133,0
$,$,$
Baby Reijnders,7337,1
Baby Reijnders,7135,8
Baby Reijnders,6956,0
Baby Reijnders,6908,12
Baby Reijnders,6662,1
Baby Reijnders,6575,10
Baby Reijnders,5862,0
Baby Reijnders,5812,1
Baby Reijnders,5688,0
Baby Reijnders,5603,0
Baby Reijnders,5578,0
Baby Reijnders,5562,0
Baby Reijnders,5544,0
Baby Reijnders,5520,0
Baby Reijnders,5471,0
Baby Reijnders,5422,23
Baby Reijnders,5022,0
Baby Reijnders,4947,0
Baby Reijnders,4711,1
Baby Reijnders,4433,0
Baby Reijnders,4364,0
Baby Reijnders,2861,1
Baby Reijnders,2814,0
Baby Reijnders,2517,0
Baby Reijnders,2167,0
Baby Reijnders,1870,0
Baby Reijnders,827,0
Baby Reijnders,574,1
Baby Reijnders,393,0
Baby Reijnders,327,0
Baby Reijnders,313,0
$,$,$
Sborada,7349,4
Sborada,7332,1
Sborada,7155,12
Sborada,7139,5
Sborada,7071,0
Sborada,7023,0
Sborada,6957,3
Sborada,6675,0
Sborada,6552,5
Sborada,6380,4
Sborada,6294,0
Sborada,6274,5
Sborada,6252,0
Sborada,6217,0
Sborada,6151,20
Sborada,6013,1
Sborada,5888,0
Sborada,5739,0
Sborada,5620,0
Sborada,5585,66
Sborada,5555,0
Sborada,5318,10
Sborada,4892,0
Sborada,4665,0
Sborada,4486,4
Sborada,4287,0
Sborada,4199,0
Sborada,2521,0
Sborada,1852,0
Sborada,791,0
Sborada,158,1
Sborada,22,0
